Run Name,Date,Distance (km),Pace,Time (min),Description,Split Number,Split Distance (km),Split Pace,Split Time
"Morning Run",2026-01-21,10.09,61.9,6:08/km,"No description",1.00,6:26,6:26/km,1.00,5:49,5:49/km,1.00,5:53,5:53/km,1.00,6:08,6:08/km,1.00,6:32,6:32/km,1.00,6:09,6:09/km,1.00,7:04,7:04/km,1.00,6:01,6:02/km,1.00,6:07,6:07/km,1.00,5:14,5:14/km,86.8,0:28,5:23/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evening Run",2026-01-20,3.52,21,5:59/km,"No description",1.00,6:03,6:03/km,1.00,6:11,6:10/km,1.00,5:59,5:59/km,0.52,2:49,5:28/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afternoon Run",2026-01-20,4.08,25.3,6:11/km,"No description",1.00,5:35,5:35/km,1.00,5:29,5:29/km,1.00,6:50,6:50/km,1.00,6:27,6:27/km,81,0:55,11:19/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chill morning run",2026-01-15,10.11,67.3,6:40/km,"No description",1.00,6:41,6:41/km,1.00,6:46,6:46/km,1.00,6:33,6:33/km,1.00,6:35,6:35/km,1.00,6:54,6:53/km,1.00,6:16,6:17/km,1.00,6:33,6:33/km,1.00,6:48,6:47/km,1.00,7:03,7:03/km,1.00,6:26,6:27/km,0.11,0:43,6:37/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pre College run",2026-01-14,10,62.7,6:16/km,"first half of the run ez, pushed towards the end",1.00,6:16,6:16/km,1.00,6:56,6:56/km,1.00,6:27,6:26/km,1.00,7:09,7:10/km,1.00,6:02,6:02/km,1.00,6:17,6:17/km,1.00,6:01,6:01/km,1.00,6:41,6:41/km,1.00,5:22,5:22/km,1.00,5:32,5:32/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Slow start, strong finish",2026-01-06,10,66.5,6:39/km,"running after a tiring day of clg is haaard",1.00,6:55,6:54/km,1.00,8:12,8:12/km,1.00,6:42,6:43/km,1.00,6:43,6:42/km,1.00,7:02,7:02/km,1.00,6:39,6:38/km,1.00,6:19,6:20/km,1.00,6:12,6:12/km,1.00,6:03,6:03/km,1.00,5:40,5:40/km,11,0:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ez run on tiring day",2026-01-05,7.09,49.8,7:02/km,"No description",1.00,6:46,6:45/km,1.00,6:54,6:55/km,1.00,6:46,6:46/km,1.00,6:33,6:33/km,1.00,7:19,7:19/km,1.00,6:10,6:10/km,1.00,8:14,8:15/km,85.9,1:07,13:00/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Running away from CC be like",2026-01-03,3.23,18.1,5:36/km,"No description",1.00,5:49,5:48/km,1.00,5:43,5:44/km,1.00,5:31,5:31/km,0.23,1:02,4:30/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Run of the year",2025-12-31,5,32.1,6:25/km,"the polution is insane, the smog was too much. The worst weather to run in",1.00,6:10,6:10/km,1.00,6:13,6:13/km,1.00,8:04,8:04/km,1.00,5:47,5:47/km,1.00,5:53,5:54/km,2.3,0:01,7:15/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"First Half Marathon",2025-12-27,21.33,150.6,7:04/km,"ffs man hardest thing I have ever done without a doubt",1.00,5:58,5:58/km,1.00,6:17,6:16/km,1.00,6:44,6:45/km,1.00,6:27,6:26/km,1.00,6:38,6:38/km,1.00,6:48,6:48/km,1.00,6:10,6:10/km,1.00,7:11,7:11/km,1.00,6:31,6:31/km,1.00,6:44,6:44/km,1.00,6:51,6:50/km,1.00,6:19,6:19/km,1.00,9:45,9:46/km,1.00,6:16,6:16/km,1.00,7:27,7:26/km,1.00,11:06,11:07/km,1.00,6:23,6:23/km,1.00,6:27,6:27/km,1.00,6:49,6:48/km,1.00,7:35,7:36/km,1.00,7:28,7:28/km,0.33,2:41,8:05/km
